province_id,rgb,barony,county,duchy,kingdom,empire,model_terrain,proposed_terrain,eep_terrain,final_terrain,model_confidence,model_runner_up,model_margin,model_priority_group,model_warning,lore_base,lore_forest,lore_google_green,lore_arid,lore_google_mountain,slope,lore_reason,leading_masks,water_class,review_reason,decision,decision_reason,review_status
10946,172:190:26,b_R172G190B26,c_R210G151B22,d_R11G129B100,k_R247G212B175,e_jogos_nhai,plains,steppe,steppe,steppe,0.136805,hills,0.038350,,below_95pct_precision_threshold|top_two_margin_below_0.10,steppe,0.000000,0.000000,0.000000,0.000000,0.001078,region:e_jogos_nhai=steppe,drylands_01_grassy_mask.png:0.6990|steppe_01_mask.png:0.1490|drylands_01_mask.png:0.1490,land,,,,automatic
10947,102:241:197,b_R102G241B197,c_R190G163B169,d_R61G25B77,k_R220G136B191,e_ulthos,plains,jungle,jungle,jungle,0.202071,hills,0.106211,,below_95pct_precision_threshold,jungle,0.007858,0.000000,0.007035,0.000000,0.000480,region:e_ulthos=plains|lore_wooded=jungle,,land,,,,automatic
10948,58:71:48,b_R58G71B48,c_R242G3B92,d_R23G243B1,k_R13G108B229,e_norvos,plains,forest,forest,forest,0.141283,hills,0.040724,,below_95pct_precision_threshold|top_two_margin_below_0.10,forest,0.431500,0.000000,0.000000,0.000000,0.001615,region:e_norvos=plains|lore_wooded=forest,steppe_01_mask.png:0.0480|drylands_01_grassy_mask.png:0.0285|plains_01_mask.png:0.0148,land,,,,automatic
10949,230:151:164,b_R230G151B164,c_R84G160B34,d_R25G59B12,k_R23G24B83,e_great_moraq,plains,jungle,jungle,jungle,0.293411,forest,0.179932,,below_95pct_precision_threshold,jungle,0.713634,0.255814,0.000456,0.302326,0.001340,region:e_great_moraq=plains|lore_wooded=jungle,medi_grass_01_mask.png:0.5038|grass 12_05_10_elis_mask.png:0.1475|plains_01_rough_mask.png:0.1449,land,,,,automatic
10950,154:211:29,b_R154G211B29,c_R63G161B163,d_R56G19B157,k_R168G94B91,e_upper_sarne_dothraki,plains,steppe,steppe,steppe,0.214767,hills,0.113100,,below_95pct_precision_threshold,steppe,0.039216,0.000000,0.000000,0.000000,0.000664,region:e_upper_sarne_dothraki=steppe,drylands_01_grassy_mask.png:0.6364|drylands_01_mask.png:0.2187|steppe_01_mask.png:0.1449,land,,,,automatic
10951,65:88:147,b_R65G88B147,c_R96G103B228,d_R236G126B142,k_R94G218B71,e_upper_sarne_dothraki,plains,steppe,steppe,steppe,0.166341,forest,0.026423,,below_95pct_precision_threshold|top_two_margin_below_0.10,steppe,0.000000,0.000000,0.002011,0.000000,0.000553,region:e_upper_sarne_dothraki=steppe,steppe_01_mask.png:0.5813|plains_01_mask.png:0.1598|medi_lumpy_grass_mask.png:0.0583,land,,,,automatic
10952,57:85:97,b_R57G85B97,c_R130G177B100,d_R53G140B216,k_R206G5B201,e_thousand_islands,wetlands,wetlands,mountains,mountains,0.988743,jungle,0.987834,wetlands,,wetlands,0.014678,0.000000,0.000000,0.023121,0.006063,region:e_thousand_islands=wetlands,wetlands_03_mask.png:0.9900|drylands_01_grassy_mask.png:0.0015|drylands_01_mask.png:0.0002,land,,,,automatic
10953,244:238:113,b_R244G238B113,c_R94G199B85,d_R231G23B54,k_R162G105B191,e_lhazar,desert,desert,plains,desert,0.999292,desert_mountains,0.998953,desert,priority:desert_over_plains|below_95pct_precision_threshold,desert,0.002530,0.000000,0.512334,0.000000,0.001853,region:e_lhazar=drylands|strong_desert_evidence,redsand/desert_red_flat_01_mask.png:0.4631|drylands_01_grassy_mask.png:0.1124|redmountain/red_mountain_02_d_desert_mask.png:0.0655,land,,,,automatic
10954,17:186:196,b_R17G186B196,c_R65G165B86,d_R246G41B220,k_R242G77B91,e_great_grass_sea_dothraki,plains,steppe,steppe,steppe,0.185688,hills,0.058762,,below_95pct_precision_threshold|top_two_margin_below_0.10,steppe,0.000000,0.000000,0.000000,0.000000,0.000226,region:e_great_grass_sea_dothraki=steppe,drylands_01_grassy_mask.png:0.8188|steppe_01_mask.png:0.1278|drylands_01_mask.png:0.0534,land,,,,automatic
10955,230:198:232,,,,,,desert,desert,hills,hills,0.299147,drylands,0.156351,desert,priority:desert_over_plains|below_95pct_precision_threshold,desert,0.083796,0.000000,0.450610,0.924528,0.002296,untitled_lore_arid=desert,desert_02_mask.png:0.7116|drylands_01_grassy_mask.png:0.2032|steppe_01_mask.png:0.0426,land,,,,automatic
