recorded_date,rider,rider_birth,rider_identity,dragon,dragon_identity,agot_coverage,note
7825.1.1,Belaerys_3,7809.1.1,character:Belaerys_3,dragon_terrax,is_character_dragon_terrax,no_canon_flag,agot_is_canon_rider never matches this rider
7838.1.1,Targaryen_13_B,7825.1.1,is_Targaryen_13_B,dragon_anogaros,is_character_dragon_anogaros,birthday_dispatch,recorded at age 13
7841.1.1,Targaryen_13_A,7821.1.1,is_Targaryen_13_A,dragon_vermithrax,is_character_dragon_vermithrax,birthday_dispatch,recorded at age 20
7856.1.1,Targaryen_13_C,7842.4.23,is_Targaryen_13_C,dragon_nessarion,is_character_dragon_nessarion,birthday_dispatch,recorded at age 13
7873.1.1,Targaryen_13,7846.1.1,is_Targaryen_13,dragon_vermithrax,is_character_dragon_vermithrax,birthday_dispatch,recorded at age 27
7879.1.1,Sonaryen_1,7869.1.1,character:Sonaryen_1,dragon_neltharion,is_character_dragon_neltharion,no_canon_flag,agot_is_canon_rider never matches this rider
7885.1.1,Mataeryon_1,7869.1.1,character:Mataeryon_1,dragon_pythax,is_character_dragon_pythax,no_canon_flag,agot_is_canon_rider never matches this rider
7885.1.1,Varezys_1,7869.1.1,is_Varezys_1,dragon_vassarion,is_character_dragon_vassarion,birthday_dispatch,recorded at age 16
7887.1.1,Targaryen_15,7870.1.1,is_Targaryen_15,dragon_balerion,is_character_dragon_balerion,birthday_dispatch,recorded at age 17
7887.1.1,Urnebar_1,7856.1.1,is_Urnebar_1,dragon_rovax,is_character_dragon_rovax,birthday_dispatch,recorded at age 31
7889.1.1,Targaryen_14,7868.1.1,is_Targaryen_14,dragon_anogaros,is_character_dragon_anogaros,birthday_dispatch,recorded at age 21
7890.1.1,Targaryen_13_D,7851.1.1,is_Targaryen_13_D,dragon_archonei,is_character_dragon_archonei,birthday_dispatch,recorded at age 39
7907.1.1,Targaryen_16,7890.1.1,is_Targaryen_16,dragon_archonei,is_character_dragon_archonei,birthday_dispatch,recorded at age 17
7930.1.1,Targaryen_18,7896.1.1,is_Targaryen_18,dragon_anogaros,is_character_dragon_anogaros,birthday_dispatch,recorded at age 34
7930.1.1,Targaryen_21,7911.1.1,is_Targaryen_21,dragon_meraxes,is_character_dragon_meraxes,birthday_dispatch,recorded at age 19
7932.1.1,Targaryen_17,7891.1.1,is_Targaryen_17,dragon_balerion,is_character_dragon_balerion,birthday_dispatch,recorded at age 41
7935.1.1,Targaryen_19,7910.1.1,is_Targaryen_19,dragon_archonei,is_character_dragon_archonei,birthday_dispatch,recorded at age 25
7950.1.1,Targaryen_20,7911.1.1,is_Targaryen_20,dragon_balerion,is_character_dragon_balerion,birthday_dispatch,recorded at age 39
7950.1.1,Targaryen_22,7928.1.1,is_Targaryen_22,dragon_archonei,is_character_dragon_archonei,birthday_dispatch,recorded at age 22
7953.1.1,Targaryen_24,7930.1.1,is_Targaryen_24,dragon_meraxes,is_character_dragon_meraxes,birthday_dispatch,recorded at age 23
7954.1.1,Targaryen_23,7929.1.1,is_Targaryen_23,dragon_anogaros,is_character_dragon_anogaros,birthday_dispatch,recorded at age 25
7971.1.1,Targaryen_26,7950.1.1,is_Targaryen_26,dragon_meraxes,is_character_dragon_meraxes,birthday_dispatch,recorded at age 21
7986.1.1,Targaryen_27,7974.1.15,is_Targaryen_27,dragon_balerion,is_character_dragon_balerion,birthday_dispatch,recorded at age 11
7991.1.1,Targaryen_28,7972.1.1,is_Targaryen_28,dragon_vhagar,is_character_dragon_vhagar,birthday_dispatch,recorded at age 19
7996.1.1,Targaryen_29,7976.1.1,is_Targaryen_29,dragon_meraxes,is_character_dragon_meraxes,birthday_dispatch,recorded at age 20
8015.9.9,Targaryen_30,8007.1.1,is_Targaryen_30,dragon_quicksilver,is_character_dragon_quicksilver,before_tenth_birthday,recorded at age 8
8037.1.1,Targaryen_32,8023.1.1,is_Targaryen_32,dragon_dreamfyre,is_character_dragon_dreamfyre,birthday_dispatch,recorded at age 14
8037.9.9,Targaryen_31,8012.1.1,is_Targaryen_31,dragon_balerion,is_character_dragon_balerion,birthday_dispatch,recorded at age 25
8040.1.1,Targaryen_36,8036.6.1,is_Targaryen_36,dragon_silverwing,is_character_dragon_silverwing,before_tenth_birthday,recorded at age 3
8042.1.1,Targaryen_33,8026.1.1,is_Targaryen_33,dragon_quicksilver,is_character_dragon_quicksilver,birthday_dispatch,recorded at age 16
8042.1.1,Targaryen_35,8034.9.20,is_Targaryen_35,dragon_vermithor,is_character_dragon_vermithor,before_tenth_birthday,recorded at age 7
8054.12.1,Targaryen_41,8042.11.15,is_Targaryen_41,dragon_balerion,is_character_dragon_balerion,birthday_dispatch,recorded at age 12
8072.1.1,Targaryen_45,8055.1.1,is_Targaryen_45,dragon_caraxes,is_character_dragon_caraxes,birthday_dispatch,recorded at age 17
8073.1.1,Targaryen_46,8057.1.1,is_Targaryen_46,dragon_vhagar,is_character_dragon_vhagar,birthday_dispatch,recorded at age 16
8075.1.1,Targaryen_47,8060.6.1,is_Targaryen_47,dragon_meleys,is_character_dragon_meleys,birthday_dispatch,recorded at age 14
8087.1.1,Targaryen_59,8074.1.1,is_Targaryen_59,dragon_meleys,is_character_dragon_meleys,birthday_dispatch,recorded at age 13
8093.1.1,Targaryen_60,8077.1.1,is_Targaryen_60,dragon_balerion,is_character_dragon_balerion,birthday_dispatch,recorded at age 16
8099.1.1,Targaryen_61,8081.3.1,is_Targaryen_61,dragon_caraxes,is_character_dragon_caraxes,birthday_dispatch,recorded at age 17
8104.1.1,Targaryen_63,8097.1.1,is_Targaryen_63,dragon_syrax,is_character_dragon_syrax,before_tenth_birthday,recorded at age 7
8104.1.1,Velaryon_34,8092.10.1,is_Velaryon_34,dragon_vhagar,is_character_dragon_vhagar,birthday_dispatch,recorded at age 11
8112.1.1,Velaryon_35,8094.1.1,is_Velaryon_35,dragon_seasmoke,is_character_dragon_seasmoke,birthday_dispatch,recorded at age 18
8118.1.1,Targaryen_65,8107.1.10,is_Targaryen_65,dragon_sunfyre,is_character_dragon_sunfyre,birthday_dispatch,recorded at age 10
8119.1.1,Targaryen_66,8109.3.4,is_Targaryen_66,dragon_dreamfyre,is_character_dragon_dreamfyre,before_tenth_birthday,recorded at age 9
8120.2.20,Targaryen_67,8110.1.23,is_Targaryen_67,dragon_vhagar,is_character_dragon_vhagar,birthday_dispatch,recorded at age 10
8127.1.1,Targaryen_68,8114.12.27,is_Targaryen_68,dragon_tessarion,is_character_dragon_tessarion,birthday_dispatch,recorded at age 12
8127.1.1,Targaryen_75,8114.11.29,is_Targaryen_75,dragon_vermax,is_character_dragon_vermax,birthday_dispatch,recorded at age 12
8128.1.1,Targaryen_76,8115.10.3,is_Targaryen_76,dragon_arrax,is_character_dragon_arrax,birthday_dispatch,recorded at age 12
8129.12.6,Farseed_1,8113.1.1,is_Farseed_1,dragon_sheepstealer,is_character_dragon_sheepstealer,created_after_game_start,"created above age ten, so no tenth birthday"
8129.12.6,Hammer_1,8095.1.1,is_Hammer_1,dragon_vermithor,is_character_dragon_vermithor,birthday_dispatch,recorded at age 34
8129.12.6,Velaryon_43,8114.1.1,is_Velaryon_43,dragon_seasmoke,is_character_dragon_seasmoke,birthday_dispatch,recorded at age 15
8129.12.6,White_1,8091.1.1,is_White_1,dragon_silverwing,is_character_dragon_silverwing,birthday_dispatch,recorded at age 38
8130.1.1,Targaryen_69,8116.1.15,is_Targaryen_69,dragon_moondancer,is_character_dragon_moondancer,birthday_dispatch,recorded at age 13
8135.3.3,Targaryen_70,8116.1.15,is_Targaryen_70,dragon_morning,is_character_dragon_morning,birthday_dispatch,recorded at age 19
8144.1.1,Targaryen_74,8130.8.1,is_Targaryen_74,dragon_nightfyre,is_character_dragon_nightfyre,birthday_dispatch,recorded at age 13
8300.7.3,Targaryen_9,8284.5.10,is_Targaryen_9,dragon_drogon,is_character_dragon_drogon,birthday_dispatch,recorded at age 16
