province_id,rgb,barony,county,duchy,kingdom,empire,model_terrain,proposed_terrain,eep_terrain,final_terrain,model_confidence,model_runner_up,model_margin,model_priority_group,model_warning,lore_base,lore_forest,lore_google_green,lore_arid,lore_google_mountain,slope,lore_reason,leading_masks,water_class,review_reason,decision,decision_reason,review_status
10946,102:178:241,,,,,,desert,forest,,forest,0.650371,the_bog,0.612007,desert,priority:desert_over_jungle|below_95pct_precision_threshold,forest,0.377074,0.000000,0.000000,0.000000,0.003754,untitled_lore_wooded=forest,desert_01_mask.png:0.6662|steppe_01_mask.png:0.3338,land,,,,automatic
10947,102:188:241,,,,,,desert,forest,,forest,0.583110,forest,0.537895,desert,priority:desert_over_jungle|below_95pct_precision_threshold,forest,0.366357,0.000000,0.000000,0.000000,0.002838,untitled_lore_wooded=forest,desert_01_mask.png:0.5257|steppe_01_mask.png:0.4743,land,,,,automatic
10948,102:198:241,,,,,,desert,plains,,plains,0.479225,forest,0.416582,desert,priority:desert_over_jungle|below_95pct_precision_threshold,plains,0.194678,0.000000,0.000000,0.000000,0.002023,untitled_lore_default=plains,steppe_01_mask.png:0.6215|desert_01_mask.png:0.3785,land,,,,automatic
10949,102:208:241,,,,,,jungle,forest,,forest,0.368628,forest,0.292428,,below_95pct_precision_threshold,forest,0.334842,0.000000,0.013575,0.000000,0.001455,untitled_lore_wooded=forest,steppe_01_mask.png:0.7977|desert_01_mask.png:0.2023|plains_01_rough_mask.png:0.0000,land,,,,automatic
10950,102:218:241,,,,,,jungle,forest,,forest,0.281421,forest,0.196939,,below_95pct_precision_threshold,forest,0.406714,0.000000,0.000000,0.000000,0.001092,untitled_lore_wooded=forest,steppe_01_mask.png:0.9892|desert_01_mask.png:0.0067|plains_01_rough_mask.png:0.0041,land,,,,automatic
10951,102:178:71,,,,,,jungle,forest,,forest,0.321404,forest,0.245904,,below_95pct_precision_threshold,forest,0.363777,0.000000,0.072239,0.000000,0.001349,untitled_lore_wooded=forest,steppe_01_mask.png:0.9908|plains_01_rough_mask.png:0.0052|desert_01_mask.png:0.0040,land,,,,automatic
10952,102:188:71,,,,,,jungle,forest,,forest,0.158228,forest,0.043720,,below_95pct_precision_threshold|top_two_margin_below_0.10,forest,0.411765,0.000000,0.040068,0.000000,0.001950,untitled_lore_wooded=forest,steppe_01_mask.png:0.6475|hills_01_rocks_mask.png:0.3011|plains_01_rough_mask.png:0.0314,land,,,,automatic
10953,102:198:71,,,,,,jungle,forest,,forest,0.211541,forest,0.084546,,below_95pct_precision_threshold|top_two_margin_below_0.10,forest,0.356373,0.000000,0.000000,0.050000,0.001198,untitled_lore_wooded=forest,steppe_01_mask.png:0.7638|hills_01_rocks_mask.png:0.1685|plains_01_rough_mask.png:0.0348,land,,,,automatic
10954,102:208:71,,,,,,hills,forest,,forest,0.168413,taiga,0.075314,,below_95pct_precision_threshold|top_two_margin_below_0.10,forest,0.421123,0.000000,0.000000,0.045455,0.001855,untitled_lore_wooded=forest,hills_01_rocks_mask.png:0.6030|steppe_01_mask.png:0.3022|northern_plains_01_mask.png:0.0484,land,,,,automatic
10955,102:218:71,,,,,,hills,forest,,forest,0.254420,plains,0.170726,,below_95pct_precision_threshold,forest,0.346257,0.000000,0.000000,0.000000,0.001633,untitled_lore_wooded=forest,hills_01_rocks_mask.png:0.7976|steppe_01_mask.png:0.1704|northern_plains_01_mask.png:0.0292,land,,,,automatic
10956,102:178:231,,,,,,desert,forest,,forest,0.532349,forest,0.475188,desert,priority:desert_over_jungle|below_95pct_precision_threshold,forest,0.339342,0.000000,0.000000,0.000000,0.002822,untitled_lore_wooded=forest,steppe_01_mask.png:0.5479|desert_01_mask.png:0.4482,land,,,,automatic
10957,102:188:231,,,,,,jungle,forest,,forest,0.308673,forest,0.229576,,below_95pct_precision_threshold,forest,0.345490,0.000000,0.000000,0.000000,0.001682,untitled_lore_wooded=forest,steppe_01_mask.png:0.8663|desert_01_mask.png:0.1337,land,,,,automatic
10958,102:198:231,,,,,,jungle,forest,,forest,0.340951,forest,0.258107,,below_95pct_precision_threshold,forest,0.435829,0.000000,0.000000,0.000000,0.001339,untitled_lore_wooded=forest,steppe_01_mask.png:0.9743|plains_01_rough_mask.png:0.0205|desert_01_mask.png:0.0020,land,,,,automatic
10959,102:208:231,,,,,,desert,forest,,forest,0.599286,forest,0.553696,desert,priority:desert_over_jungle|below_95pct_precision_threshold,forest,0.359133,0.000000,0.000000,0.000000,0.002501,untitled_lore_wooded=forest,steppe_01_mask.png:0.6462|desert_01_mask.png:0.3538,land,,,,automatic
10960,102:218:231,,,,,,jungle,forest,,forest,0.452241,forest,0.395761,,below_95pct_precision_threshold,forest,0.378151,0.000000,0.000000,0.000000,0.001568,untitled_lore_wooded=forest,steppe_01_mask.png:0.9739|plains_01_rough_mask.png:0.0135|desert_01_mask.png:0.0068,land,,,,automatic
10961,102:178:191,,,,,,jungle,forest,,forest,0.406877,forest,0.344185,,below_95pct_precision_threshold,forest,0.354575,1.000000,0.000000,0.000000,0.002664,untitled_lore_wooded=forest,steppe_01_mask.png:0.6149|desert_01_mask.png:0.1818,land,,,,automatic
10962,102:188:191,,,,,,jungle,forest,,forest,0.428950,forest,0.364783,,below_95pct_precision_threshold,forest,0.403529,0.920000,0.000000,0.040000,0.001824,untitled_lore_wooded=forest,steppe_01_mask.png:0.8259|desert_01_mask.png:0.1738|plains_01_rough_mask.png:0.0002,land,,,,automatic
10963,102:198:191,,,,,,jungle,forest,,forest,0.369820,forest,0.290939,,below_95pct_precision_threshold,forest,0.390686,0.500000,0.000000,0.100000,0.001450,untitled_lore_wooded=forest,steppe_01_mask.png:0.8514|desert_01_mask.png:0.1313|northern_plains_01_mask.png:0.0103,land,,,,automatic
