character,source_file,old_culture,new_culture,reason
gen_2159,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2160,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2161,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2162,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2163,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2164,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2165,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2166,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2167,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2168,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2169,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2170,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2171,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2172,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2173,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2174,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2175,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2176,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2177,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2178,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2179,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2180,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2181,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2182,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2183,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2184,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2185,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2186,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2187,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2188,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2189,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2190,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2191,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2192,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2193,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2194,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2195,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2196,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2197,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2198,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2199,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2200,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2201,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2202,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2203,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2204,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2205,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2206,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2207,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2208,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2209,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2210,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2211,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2212,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2213,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2214,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2215,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2216,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2217,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2218,history/characters/bookmark_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2483,history/characters/essos_7898_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2484,history/characters/essos_7898_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2485,history/characters/essos_7898_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2486,history/characters/essos_7898_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2487,history/characters/essos_7898_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2488,history/characters/essos_7898_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_25,history/characters/empire_rulers.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2816,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2817,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2818,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2819,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2820,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2821,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2822,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2823,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2824,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2825,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2826,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2827,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2828,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2829,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2830,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2831,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2832,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2833,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2834,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2835,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2836,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2837,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2838,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2839,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2840,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2841,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2842,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2843,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2844,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2845,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2846,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2847,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
